sensor_id,sensor_name,available_2025_hours,missing_2025_hours,coverage_rate,latitude,longitude,status,location_label,selection_mode,selection_tier,enabled,inclusion_reason,notes
49,Eli501_T,8759,1,0.999886,-37.80730068,144.95956055,A,QVM-Therry St (South),HIGH_COVERAGE_ALL,near_complete,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
59,RMIT_T,8759,1,0.999886,-37.80825648,144.96304859,A,Building 80 RMIT,HIGH_COVERAGE_ALL,near_complete,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
62,Lat224_T,8759,1,0.999886,-37.80996494,144.96216521,A,La Trobe St (North),HIGH_COVERAGE_ALL,near_complete,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
66,QVN_T,8759,1,0.999886,-37.81057846,144.96444294,A,"QV2 Apartments, 300 Swanston Street",HIGH_COVERAGE_ALL,near_complete,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
79,FliSS_T,8759,1,0.999886,-37.81794046,144.96616678,A,Flinders St (South),HIGH_COVERAGE_ALL,near_complete,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
133,Spen229_T,8759,1,0.999886,-37.81531435,144.95227769,A,I-Hub Southern Cross Station - Lonsdale Street Entrance - South,HIGH_COVERAGE_ALL,near_complete,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
134,Spen201_T,8759,1,0.999886,-37.81694221,144.95303935,A,I-Hub Southern Cross Station - Bourke Street Entrance - North,HIGH_COVERAGE_ALL,near_complete,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
209,FliS_T,8759,1,0.999886,-37.81909037,144.96549709,A,Flinders Underpass - Walkway,HIGH_COVERAGE_ALL,near_complete,true,Included automatically because 2025 coverage is at least 95%.,sensor_name_shared_by_ids:6|209
23,Col623_T,8758,2,0.999772,-37.81909256,144.95452748,A,Spencer St-Collins St (South),HIGH_COVERAGE_ALL,near_complete,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
58,Bou688_T,8758,2,0.999772,-37.81686075,144.95358075,A,Bourke St - Spencer St (North),HIGH_COVERAGE_ALL,near_complete,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
84,ElFi_T,8758,2,0.999772,-37.81798049,144.96503383,A,Elizabeth St - Flinders St (East) - New footpath,HIGH_COVERAGE_ALL,near_complete,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
132,King335_T,8758,2,0.999772,-37.81267639,144.95386444,A,I-Hub Corner of King Street and Latrobe Street (317-335 King),HIGH_COVERAGE_ALL,near_complete,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
212,SouthB_T,8758,2,0.999772,-37.82025374,144.96501549,A,Southbank Promenade - Riverside,HIGH_COVERAGE_ALL,near_complete,true,Included automatically because 2025 coverage is at least 95%.,sensor_name_shared_by_ids:211|212
61,RMIT14_T,8757,3,0.999658,-37.80767455,144.96309114,A,RMIT Building 14,HIGH_COVERAGE_ALL,near_complete,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
41,Swa31,8756,4,0.999543,-37.81668634,144.96689733,A,Flinders La-Swanston St (West),HIGH_COVERAGE_ALL,near_complete,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
51,Fra118_T,8756,4,0.999543,-37.80841815,144.95906316,A,QVM-Franklin St (North),HIGH_COVERAGE_ALL,near_complete,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
108,261Will_T,8756,4,0.999543,-37.81295822,144.95678789,A,William St - Little Lonsdale St (West),HIGH_COVERAGE_ALL,near_complete,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
21,Bourke155_T,8755,5,0.999429,-37.81267313,144.96788288,A,155-161 Russell Street,HIGH_COVERAGE_ALL,near_complete,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
135,Spen161_T,8755,5,0.999429,-37.8172861,144.95319102,A,I-Hub Southern Cross Station - Bourke Street Entrance - South,HIGH_COVERAGE_ALL,near_complete,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
162,Eli489_T,8755,5,0.999429,-37.80740397,144.95987909,A,iHub 489 Elizabeth Street,HIGH_COVERAGE_ALL,near_complete,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
5,PriNW_T,8754,6,0.999315,-37.81874249,144.96787656,A,Princes Bridge,HIGH_COVERAGE_ALL,near_complete,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
20,LtB170_T,8753,7,0.999201,-37.81172914,144.9682466,A,Chinatown-Lt Bourke St (South),HIGH_COVERAGE_ALL,near_complete,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
36,Que85_T,8753,7,0.999201,-37.81652527,144.96121062,A,Queen St (West),HIGH_COVERAGE_ALL,near_complete,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
52,Eli263_T,8753,7,0.999201,-37.81252157,144.9619401,A,Elizabeth St-Lonsdale St (South),HIGH_COVERAGE_ALL,near_complete,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
67,FLDegS_T,8753,7,0.999201,-37.81688755,144.96562569,A,Flinders Ln -Degraves St (South),HIGH_COVERAGE_ALL,near_complete,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
53,Col254_T,8752,8,0.999087,-37.81564191,144.965499,A,Collins Street (North),HIGH_COVERAGE_ALL,near_complete,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
17,Col15_T,8747,13,0.998516,-37.81362543,144.97323591,A,Collins Place (South),HIGH_COVERAGE_ALL,high_coverage,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
109,LatWill_T,8746,14,0.998402,-37.81193681,144.95621105,A,La Trobe St- William St (South),HIGH_COVERAGE_ALL,high_coverage,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
107,280Will_T,8744,16,0.998174,-37.81246271,144.95690188,A,Royal Mint 280 William St,HIGH_COVERAGE_ALL,high_coverage,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
9,Col700_T,8737,23,0.997374,-37.81982992,144.95102555,A,Southern Cross Station,HIGH_COVERAGE_ALL,high_coverage,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
2,Bou283_T,8734,26,0.997032,-37.81380668,144.96516718,A,Bourke Street Mall (South),HIGH_COVERAGE_ALL,high_coverage,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
31,Lyg161_T,8733,27,0.996918,-37.80169681,144.96658911,A,Lygon St (West),HIGH_COVERAGE_ALL,high_coverage,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
117,Fli114F_T,8728,32,0.996347,-37.81629332,144.97090877,A,114 Flinders Street Car Park Footpath,HIGH_COVERAGE_ALL,high_coverage,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
27,Vic_T,8720,40,0.995434,-37.80606888,144.95644692,A,QV Market-Peel St,HIGH_COVERAGE_ALL,high_coverage,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
63,Bou231_T,8719,41,0.99532,-37.81333081,144.96675571,A,231 Bourke St,HIGH_COVERAGE_ALL,high_coverage,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
77,HarEsP_T,8717,43,0.995091,-37.81441438,144.94433026,A,Harbour Esplanade (West) - Pedestrian path,HIGH_COVERAGE_ALL,high_coverage,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
72,ACMI_T,8713,47,0.994635,-37.81726338,144.96872809,A,Flinders St- ACMI,HIGH_COVERAGE_ALL,high_coverage,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
6,FliS_T,8696,64,0.992694,-37.81907439,144.96557866,A,Flinders Underpass - Myki Barriers,HIGH_COVERAGE_ALL,high_coverage,true,Included automatically because 2025 coverage is at least 95%.,sensor_name_shared_by_ids:6|209
179,Pow61_T,8692,68,0.992237,-37.82392385,144.96299677,A,61-67 Power Street Southbank,HIGH_COVERAGE_ALL,high_coverage,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
211,SouthB_T,8691,69,0.992123,-37.82020539,144.96499384,A,Southbank Promenade - Building Side,HIGH_COVERAGE_ALL,high_coverage,true,Included automatically because 2025 coverage is at least 95%.,sensor_name_shared_by_ids:211|212
25,MCEC_T,8682,78,0.991096,-37.82401776,144.95604426,A,Melbourne Convention Exhibition Centre,HIGH_COVERAGE_ALL,high_coverage,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
54,Swa607_T,8681,79,0.990982,-37.804024,144.96308399,A,Lincoln-Swanston (West),HIGH_COVERAGE_ALL,high_coverage,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
24,Col620_T,8680,80,0.990868,-37.81887963,144.95449198,A,Spencer St-Collins St (North),HIGH_COVERAGE_ALL,high_coverage,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
29,AG_T,8672,88,0.989954,-37.8199817,144.96872865,A,St Kilda Rd-Alexandra Gardens,HIGH_COVERAGE_ALL,high_coverage,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
164,Lat526_T,8663,97,0.988927,-37.813005,144.95160411,A,I-Hub 526 La Trobe Street (Footpath),HIGH_COVERAGE_ALL,high_coverage,true,Included automatically because 2025 coverage is at least 95%.,sensor_name_shared_by_ids:164|167
40,Spr201_T,8658,102,0.988356,-37.80999341,144.97227587,A,Lonsdale St-Spring St (West),HIGH_COVERAGE_ALL,high_coverage,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
50,Lyg309_T,8653,107,0.987785,-37.79808192,144.96721013,A,Faraday St-Lygon St (West),HIGH_COVERAGE_ALL,high_coverage,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
56,Lon364_T,8630,130,0.98516,-37.81234775,144.96153311,A,Lonsdale St - Elizabeth St (North),HIGH_COVERAGE_ALL,high_coverage,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
143,Spencer_T,8623,137,0.984361,-37.821728,144.95557015,A,"Mounted on Toilet - Spencer Street, Batman Park",HIGH_COVERAGE_ALL,high_coverage,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
141,474Fl_T,8568,192,0.978082,-37.81997273,144.95834911,A,Awning of Nationwide Parking 474 Flinders Street,HIGH_COVERAGE_ALL,high_coverage,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
167,Lat526_T,8548,212,0.975799,-37.81304149,144.95155955,A,I-Hub 526 La Trobe Street (Crossing),HIGH_COVERAGE_ALL,high_coverage,true,Included automatically because 2025 coverage is at least 95%.,sensor_name_shared_by_ids:164|167
87,Errol23_T,8534,226,0.974201,-37.80454949,144.94921863,A,Errol St (West),HIGH_COVERAGE_ALL,high_coverage,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
70,Errol20_T,8488,272,0.96895,-37.80456984,144.94946228,A,Errol Street (East),HIGH_COVERAGE_ALL,high_coverage,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
10,BouHbr_T,8435,325,0.9629,-37.81876474,144.94710545,A,Victoria Point,HIGH_COVERAGE_ALL,high_coverage,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
12,NewQ_T,8415,345,0.960616,-37.81457988,144.94292398,A,New Quay,HIGH_COVERAGE_ALL,high_coverage,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
45,Swa148_T,8400,360,0.958904,-37.81414075,144.96609379,A,Little Collins St-Swanston St (East),HIGH_COVERAGE_ALL,high_coverage,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
71,WestWP_T,8398,362,0.958676,-37.81235775,144.97136962,A,Westwood Place,HIGH_COVERAGE_ALL,high_coverage,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
43,UM2_T,8395,365,0.958333,-37.79844526,144.96411782,A,Monash Rd-Swanston St (West),HIGH_COVERAGE_ALL,high_coverage,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
19,LtB210_T,8377,383,0.956279,-37.81237202,144.96550671,A,Chinatown-Swanston St (North),HIGH_COVERAGE_ALL,high_coverage,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
18,Col12_T,8367,393,0.955137,-37.81344862,144.97305353,A,Collins Place (North),HIGH_COVERAGE_ALL,high_coverage,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
165,Spen475_T,8359,401,0.954224,-37.80953359,144.94939004,A,475 Spencer Street,HIGH_COVERAGE_ALL,high_coverage,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
139,Signal1647_T,8355,405,0.953767,-37.81959923,144.9632832,A,COM Pole 1647 - Sandridge Bridge Signal Box,HIGH_COVERAGE_ALL,high_coverage,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
69,FLDegC_T,8337,423,0.951712,-37.81687226,144.96559144,A,Flinders Ln -Degraves St (Crossing),HIGH_COVERAGE_ALL,high_coverage,true,Included automatically because 2025 coverage is at least 95%.,incomplete_2025_coverage
