candidate_type,candidate_id,evidence_id,review_status,explanation_strength,reviewer_notes,reviewed_by,reviewed_at
pulse_group,P1F_REPRESENTATIVE_12_below_baseline_202501010600,ME_20250101_QVM_PUBLIC_HOLIDAY_CLOSURE_010,verified_overlap,weak,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_below_baseline_202501010600,ME_20250101_SCHOOL_HOLIDAY_011,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_below_baseline_202501060700,ME_20250106_AO_QUALIFYING_012,verified_overlap,strong,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_below_baseline_202501060700,ME_20250106_RAIN_COOL_MORNING_013,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_below_baseline_202501060700,ME_20250106_SCHOOL_HOLIDAY_014,verified_overlap,weak,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_below_baseline_202501270500,ME_20250127_AUSTRALIA_DAY_OBSERVED_015,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_below_baseline_202501270500,ME_20250127_AUSTRALIA_DAY_PUBLIC_HOLIDAY_016,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_below_baseline_202501270500,ME_20250127_PUBLIC_TRANSPORT_PUBLIC_HOLIDAY_017,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_below_baseline_202503100600,ME_20250310_LABOUR_DAY_PUBLIC_HOLIDAY_018,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_below_baseline_202503100600,ME_20250310_LABOUR_DAY_CORROBORATION_019,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_below_baseline_202503100600,ME_20250310_LABOUR_DAY_PUBLIC_TRANSPORT_020,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_above_baseline_202504060600,ME_20250406_DST_END_021,verified_overlap,weak,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_above_baseline_202504060600,ME_20250406_MELBOURNE_DST_ENDED_022,verified_overlap,weak,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_above_baseline_202504060600,ME_20250417_AUTUMN_SCHOOL_HOLIDAY_026,verified_overlap,weak,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_above_baseline_202504171800,ME_20250418_GOOD_FRIDAY_PUBLIC_HOLIDAY_023,verified_overlap,weak,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_above_baseline_202504171800,ME_20250417_MICF_2025_024,verified_overlap,strong,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_above_baseline_202504171800,ME_20250417_EASTER_EVE_NIGHTLIFE_025,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_above_baseline_202504171800,ME_20250417_AUTUMN_SCHOOL_HOLIDAY_026,verified_overlap,weak,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_above_baseline_202504242200,ME_20250425_ANZAC_DAY_PUBLIC_HOLIDAY_027,verified_overlap,weak,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_above_baseline_202504242200,ME_20250425_ANZAC_DAWN_SERVICE_028,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_above_baseline_202504242200,ME_20250425_ANZAC_DAWN_SERVICE_CROWD_029,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_above_baseline_202504242200,ME_20250425_ANZAC_PUBLIC_TRANSPORT_030,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_above_baseline_202504242200,ME_20250425_ANZAC_ROAD_CLOSURES_031,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_above_baseline_202504242200,ME_20250425_ANZAC_ROAD_CLOSURE_AFTERNOON_035,verified_overlap,weak,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_below_baseline_202504251400,ME_20250425_ANZAC_DAY_PUBLIC_HOLIDAY_027,verified_overlap,weak,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_below_baseline_202504251400,ME_20250425_ANZAC_AFTERNOON_RAIN_033,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_below_baseline_202504251400,ME_20250425_BOM_RAIN_OBS_034,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_below_baseline_202504251400,ME_20250425_ANZAC_PUBLIC_TRANSPORT_AFTERNOON_036,verified_overlap,weak,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_below_baseline_202504251400,ME_20250425_ANZAC_POST_MARCH_DROP_037,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_below_baseline_202506090500,ME_20250609_KINGS_BIRTHDAY_PUBLIC_HOLIDAY_038,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_below_baseline_202506090500,ME_20250609_KINGS_BIRTHDAY_CORROBORATION_039,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_below_baseline_202506090500,ME_20250609_MELBOURNE_RAIN_COLD_MORNING_040,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_below_baseline_202506090500,ME_20250609_KINGS_BIRTHDAY_PUBLIC_TRANSPORT_041,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_below_baseline_202507021200,ME_20250702_WEATHER_DISRUPTION_042,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_below_baseline_202507021200,ME_20250702_BOM_COOL_WET_CONTEXT_043,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_below_baseline_202507021200,ME_20250702_MELBOURNE_COOLEST_DAY_044,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_below_baseline_202507021200,ME_20250702_HURSTBRIDGE_RAIL_DISRUPTION_BOUNDARY_045,verified_overlap,weak,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_above_baseline_202510120600,ME_20251012_MELBOURNE_MARATHON_046,verified_overlap,strong,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_above_baseline_202510120600,ME_20251012_MARATHON_ROAD_CLOSURES_047,verified_overlap,strong,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_above_baseline_202510120600,ME_20251012_MARATHON_MCG_ACCESS_048,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_above_baseline_202510120600,ME_20251012_MARATHON_PUBLIC_TRANSPORT_049,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_below_baseline_202511040500,ME_20251104_MELBOURNE_CUP_PUBLIC_HOLIDAY_050,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_below_baseline_202511040500,ME_20251104_MELBOURNE_CUP_CORROBORATION_051,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_below_baseline_202511040500,ME_20251104_MELBOURNE_CUP_RAIN_MORNING_052,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_below_baseline_202511040500,ME_20251104_MELBOURNE_CUP_TRAM_TIMETABLE_053,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_above_baseline_202512171800,ME_20251217_RMIT_GRADUATION_055,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_above_baseline_202512171800,ME_20251217_CHRISTMAS_SQUARE_056,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_above_baseline_202512171800,ME_20251217_STATE_LIBRARY_CHRISTMAS_PROJECTIONS_058,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_below_baseline_202512250500,ME_20251225_CHRISTMAS_DAY_PUBLIC_HOLIDAY_059,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_below_baseline_202512250500,ME_20251225_RESTRICTED_TRADING_DAY_060,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_below_baseline_202512250500,ME_20251225_QVM_CHRISTMAS_CLOSURE_061,verified_overlap,weak,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_below_baseline_202512250500,ME_20251225_CHRISTMAS_PUBLIC_TRANSPORT_062,verified_overlap,moderate,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
pulse_group,P1F_REPRESENTATIVE_12_below_baseline_202512250500,ME_20251225_SUMMER_SCHOOL_HOLIDAY_063,verified_overlap,weak,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
episode,E1E_REPRESENTATIVE_12_49_above_baseline_202505262000,ME_20250526_QVM_NO_MATCHING_EVENT_064,verified_overlap,weak,Confirmed by original evidence researcher; source and candidate overlap accepted.,SIYANG,2026-08-10T15:03:34+10:00
